"id","name","mechanic","equipment","primary_muscle","secondary_muscles","beginner_friendly","instructions","images","hypertrophy_score","rep_range","hidden","bench_required","pull_up_bar_required"
17,Around The Worlds,compound,dumbbell,chest,{shoulders},false,"{""Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position."",""Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement."",""Reverse the movement to return the weight to the starting position as you exhale.""}","{Around_The_Worlds/0.jpg,Around_The_Worlds/1.jpg}",,"",true,,
11,Alternating Floor Press,compound,kettlebells,chest,"{abdominals,shoulders,triceps}",true,"{""Lie on the floor with two kettlebells next to your shoulders."",""Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward."",""Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell."",""Raise the kettlebell and repeat on the opposite side.""}","{Alternating_Floor_Press/0.jpg,Alternating_Floor_Press/1.jpg}",1,"10-15",false,false,false
18,Back Fly - With Bands,compound,bands,shoulders,"{""middle back"",triceps}",true,"{""Run a band around a stationary post like that of a squat rack."",""Grab the band by the handles and stand back so that the tension in the band rises."",""Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position."",""As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides."",""After a pause, go back to the original position as you inhale."",""Repeat for the recommended amount of repetitions.""}","{Back_Flyes_-_With_Bands/0.jpg,Back_Flyes_-_With_Bands/1.jpg}",,"",true,,
12,Alternating Hang Clean,compound,kettlebells,hamstrings,"{biceps,calves,forearms,glutes,""lower back"",traps}",false,"{""Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead."",""Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so."",""Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.""}","{Alternating_Hang_Clean/0.jpg,Alternating_Hang_Clean/1.jpg}",2,"6-10",false,false,false
434,Sled Overhead Backward Walk,compound,other,shoulders,"{calves,""middle back"",quadriceps}",true,"{""Attach dual handles to a sled connected by a rope or chain. Load the sled to a light weight."",""Face the sled, backing up until there is some tension in the line. Hold your hands directly above your head with your elbows extended. This will be your starting position."",""Walk backwards, keeping your arms raised above your head. Avoid jerky movements.""}","{Sled_Overhead_Backward_Walk/0.jpg,Sled_Overhead_Backward_Walk/1.jpg}",,"",true,,
447,Smith Machine Incline Bench Press,compound,machine,chest,"{shoulders,triceps}",true,"{""Place an incline bench underneath the smith machine. Place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Once the weight you need is selected, lie down on the incline bench and make sure your upper chest is aligned with the barbell. Using a pronated grip (palms facing forward) that is wider than shoulder width, unlock the bar from the rack and hold it straight over you with your arms locked. This will be your starting position."",""As you breathe in, come down slowly until you feel the bar on your upper chest."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the bar back in the rack.""}","{Smith_Machine_Incline_Bench_Press/0.jpg,Smith_Machine_Incline_Bench_Press/1.jpg}",3,"8-12",false,true,false
20,Ball Leg Curl,isolation,exercise ball,hamstrings,"{calves,glutes}",true,"{""Begin on the floor laying on your back with your feet on top of the ball."",""Position the ball so that when your legs are extended your ankles are on top of the ball. This will be your starting position."",""Raise your hips off of the ground, keeping your weight on the shoulder blades and your feet."",""Flex the knees, pulling the ball as close to you as you can, contracting the hamstrings."",""After a brief pause, return to the starting position.""}","{Ball_Leg_Curl/0.jpg,Ball_Leg_Curl/1.jpg}",2,"12-20",false,false,false
22,Band Hip Adductions,isolation,bands,adductors,{},true,"{""Anchor a band around a solid post or other object."",""Stand with your left side to the post, and put your right foot through the band, getting it around the ankle."",""Stand up straight and hold onto the post if needed. This will be your starting position."",""Keeping the knee straight, raise your right legs out to the side as far as you can."",""Return to the starting position and repeat for the desired rep count."",""Switch sides.""}","{Band_Hip_Adductions/0.jpg,Band_Hip_Adductions/1.jpg}",2,"8-12",false,false,false
28,Barbell Curls Lying Against An Incline,isolation,barbell,biceps,{},true,"{""Lie against an incline bench, with your arms holding a barbell and hanging down in a horizontal line. This will be your starting position."",""While keeping the upper arms stationary, curl the weight up as high as you can while squeezing the biceps. Breathe out as you perform this portion of the movement. Tip: Only the forearms should move. Do not swing the arms."",""After a second contraction, slowly go back to the starting position as you inhale. Tip: Make sure that you go all of the way down."",""Repeat for the recommended amount of repetitions.""}","{Barbell_Curls_Lying_Against_An_Incline/0.jpg,Barbell_Curls_Lying_Against_An_Incline/1.jpg}",,"",true,,
478,Standing Dumbbell Press,compound,dumbbell,shoulders,{triceps},true,"{""Standing with your feet shoulder width apart, take a dumbbell in each hand. Raise the dumbbells to head height, the elbows out and about 90 degrees. This will be your starting position."",""Maintaining strict technique with no leg drive or leaning back, extend through the elbow to raise the weights together directly above your head."",""Pause, and slowly return the weight to the starting position.""}","{Standing_Dumbbell_Press/0.jpg,Standing_Dumbbell_Press/1.jpg}",,"",true,,
331,One-Arm Medicine Ball Slam,compound,medicine ball,abdominals,"{lats,shoulders}",true,"{""Start in a standing position with a staggered, athletic stance. Hold a medicine ball in one hand, on the same side as your back leg. This will be your starting position."",""Begin by winding the arm, raising the medicine ball above your head. As you do so, extend through the hips, knees, and ankles to load up for the slam."",""At peak extension, flex the shoulders, spine, and hips to throw the ball hard into the ground directly in front of you."",""Catch the ball on the bounce and continue for the desired number of repetitions.""}","{One-Arm_Medicine_Ball_Slam/0.jpg,One-Arm_Medicine_Ball_Slam/1.jpg}",1,"",true,false,false
30,Barbell Full Squat,compound,barbell,quadriceps,"{calves,glutes,hamstrings,""lower back""}",false,"{""This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it."",""Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso."",""Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position."",""Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement."",""Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position."",""Repeat for the recommended amount of repetitions.""}","{Barbell_Full_Squat/0.jpg,Barbell_Full_Squat/1.jpg}",,"",true,,
31,Barbell Guillotine Bench Press,compound,barbell,chest,"{shoulders,triceps}",false,"{""Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position."",""As you breathe in, bring the bar down slowly until it is about 1 inch from your neck."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the bar back in the rack.""}","{Barbell_Guillotine_Bench_Press/0.jpg,Barbell_Guillotine_Bench_Press/1.jpg}",,"",true,,
32,Barbell Hack Squat,compound,barbell,quadriceps,"{calves,forearms,hamstrings}",false,"{""Stand up straight while holding a barbell behind you at arms length and your feet at shoulder width. Tip: A shoulder width grip is best with the palms of your hands facing back. You can use wrist wraps for this exercise for a better grip. This will be your starting position."",""While keeping your head and eyes up and back straight, squat until your upper thighs are parallel to the floor. Breathe in as you slowly go down."",""Pressing mainly with the heel of the foot and squeezing the thighs, go back up as you breathe out."",""Repeat for the recommended amount of repetitions.""}","{Barbell_Hack_Squat/0.jpg,Barbell_Hack_Squat/1.jpg}",,"",true,,
245,Kettlebell Figure 8,,kettlebells,abdominals,"{hamstrings,shoulders}",false,"{""Place one kettlebell between your legs and take a wider than shoulder width stance. Bend over by pushing your butt out and keeping your back flat."",""Pick up a kettlebell and pass it to your other hand between your legs. The receiving hand should reach from behind the legs. Go back and forth for several repetitions.""}","{Kettlebell_Figure_8/0.jpg,Kettlebell_Figure_8/1.jpg}",1,"10-15",false,false,false
34,Barbell Incline Shoulder Raise,compound,barbell,shoulders,{chest},true,"{""Lie back on an Incline Bench. Using a medium width grip (a grip that is slightly wider than shoulder width), lift the bar from the rack and hold it straight over you with your arms straight. This will be your starting position."",""While keeping the arms straight, lift the bar by protracting your shoulder blades, raising the shoulders from the bench as you breathe out."",""Bring back the bar to the starting position as you breathe in."",""Repeat for the recommended amount of repetitions.""}","{Barbell_Incline_Shoulder_Raise/0.jpg,Barbell_Incline_Shoulder_Raise/1.jpg}",,"",true,,
37,Barbell Rollout from Bench,compound,barbell,abdominals,"{glutes,hamstrings,lats,shoulders}",false,"{""Place a loaded barbell on the ground, near the end of a bench. Kneel with both legs on the bench, and take a medium to narrow grip on the barbell. This will be your starting position."",""To begin, extend through the hips to slowly roll the bar forward. As you roll out, flex the shoulder to roll the bar above your head. Ensure that your arms remain extended throughout the movement."",""When the bar has been moved as far forward as possible, return to the starting position.""}","{Barbell_Rollout_from_Bench/0.jpg,Barbell_Rollout_from_Bench/1.jpg}",,"",true,,
41,Barbell Shrug Behind The Back,isolation,barbell,traps,"{forearms,""middle back""}",true,"{""Stand up straight with your feet at shoulder width as you hold a barbell with both hands behind your back using a pronated grip (palms facing back). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for better grip. This will be your starting position."",""Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps. The arms should remain stretched out at all times."",""Slowly return to the starting position as you breathe in."",""Repeat for the recommended amount of repetitions.""}","{Barbell_Shrug_Behind_The_Back/0.jpg,Barbell_Shrug_Behind_The_Back/1.jpg}",,"",true,,
35,Barbell Lunge,compound,barbell,quadriceps,"{calves,glutes,hamstrings}",false,"{""This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it."",""Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso."",""Step away from the rack and step forward with your right leg and squat down through your hips, while keeping the torso upright and maintaining balance. Inhale as you go down. Note: Do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. li>"",""Using mainly the heel of your foot, push up and go back to the starting position as you exhale."",""Repeat the movement for the recommended amount of repetitions and then perform with the left leg.""}","{Barbell_Lunge/0.jpg,Barbell_Lunge/1.jpg}",2,"6-10",false,false,false
38,Barbell Seated Calf Raise,isolation,barbell,calves,{},true,"{""Place a block about 12 inches in front of a flat bench."",""Sit on the bench and place the ball of your feet on the block."",""Have someone place a barbell over your upper thighs about 3 inches above your knees and hold it there. This will be your starting position."",""Raise up on your toes as high as possible as you squeeze the calves and as you breathe out."",""After a second contraction, slowly go back to the starting position. Tip: To get maximum benefit stretch your calves as far as you can."",""Repeat for the recommended amount of repetitions.""}","{Barbell_Seated_Calf_Raise/0.jpg,Barbell_Seated_Calf_Raise/1.jpg}",2,"10-15",false,true,false
42,Barbell Side Bend,isolation,barbell,abdominals,"{""lower back""}",true,"{""Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be shoulder width apart. This will be your starting position."",""While keeping your back straight and your head up, bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary."",""Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position."",""Repeat for the recommended amount of repetitions.""}","{Barbell_Side_Bend/0.jpg,Barbell_Side_Bend/1.jpg}",,"",true,,
43,Barbell Side Split Squat,compound,barbell,quadriceps,"{calves,hamstrings,""lower back""}",true,"{""Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be placed wide apart with the foot of the lead leg angled out to the side. This will be your starting position."",""Lower your body towards the side of your angled foot by bending the knee and hip of your lead leg and while keeping the opposite leg only slightly bent. Breathe in as you lower your body."",""Return to the starting position by extending the hip and knee of the lead leg. Breathe out as you perform this movement."",""After performing the recommended amount of reps, repeat the movement with the opposite leg.""}","{Barbell_Side_Split_Squat/0.jpg,Barbell_Side_Split_Squat/1.jpg}",,"",true,,
47,Battling Ropes,compound,other,shoulders,"{chest,forearms}",true,"{""For this exercise you will need a heavy rope anchored at its center 15-20 feet away. Standing in front of the rope, take an end in each hand with your arms extended at your side. This will be your starting position."",""Initiate the movement by rapidly raising one arm to shoulder level as quickly as you can."",""As you let that arm drop to the starting position, raise the opposite side."",""Continue alternating your left and right arms, whipping the ropes up and down as fast as you can.""}","{Battling_Ropes/0.jpg,Battling_Ropes/1.jpg}",,"",true,,
46,Barbell Walking Lunge,compound,barbell,quadriceps,"{calves,glutes,hamstrings}",true,"{""Begin standing with your feet shoulder width apart and a barbell across your upper back."",""Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee nearly touches the ground. Your posture should remain upright, and your front knee should stay above the front foot."",""Drive through the heel of your lead foot and extend both knees to raise yourself back up."",""Step forward with your rear foot, repeating the lunge on the opposite leg.""}","{Barbell_Walking_Lunge/0.jpg,Barbell_Walking_Lunge/1.jpg}",1,"6-10",false,false,false
54,Bent Over Dumbbell Rear Delt Raise With Head On Bench,isolation,dumbbell,shoulders,{},true,"{""Stand up straight while holding a dumbbell in each hand and with an incline bench in front of you."",""While keeping your back straight and maintaining the natural arch of your back, lean forward until your forehead touches the bench in front of you. Let the arms hang in front of you perpendicular to the ground. The palms of your hands should be facing each other and your torso should be parallel to the floor. This will be your starting position."",""Keeping your torso forward and stationary, and the arms straight with a slight bend at the elbows, lift the dumbbells straight to the side until both arms are parallel to the floor. Exhale as you lift the weights. Caution: avoid swinging the torso or bringing the arms back as opposed to the side."",""After a one second contraction at the top, slowly lower the dumbbells back to the starting position."",""Repeat the recommended amount of repetitions.""}","{Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench/0.jpg,Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench/1.jpg}",,"",true,,
55,Bent Over Low-Pulley Side Lateral,isolation,cable,shoulders,"{""lower back"",""middle back"",traps}",true,"{""Select a weight and hold the handle of the low pulley with your right hand."",""Bend at the waist until your torso is nearly parallel to the floor. Your legs should be slightly bent with your left hand placed on your lower left thigh. Your right arm should be hanging from your shoulder in front of you and with a slight bend at the elbow. This will be your starting position."",""Raise your right arm, elbow slightly bent, to the side until the arm is parallel to the floor and in line with your right ear. Breathe out as you perform this step."",""Slowly lower the weight back to the starting position as you breathe in."",""Repeat for the recommended amount of repetitions and repeat the movement with the other arm.""}","{Bent_Over_Low-Pulley_Side_Lateral/0.jpg,Bent_Over_Low-Pulley_Side_Lateral/1.jpg}",,"",true,,
56,Bent Over One-Arm Long Bar Row,compound,barbell,middle back,"{biceps,lats,""lower back"",traps}",true,"{""Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward."",""Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent."",""Now grab the bar with one arm just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position."",""Pull the bar straight up with your elbow in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Do not allow for any swinging of the torso. Only the arm should move."",""Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones)."",""Repeat for the recommended amount of repetitions and switch arms.""}","{Bent_Over_One-Arm_Long_Bar_Row/0.jpg,Bent_Over_One-Arm_Long_Bar_Row/1.jpg}",,"",true,,
57,Bent Over Two-Arm Long Bar Row,compound,barbell,middle back,"{biceps,lats}",false,"{""Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward."",""Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent."",""Now grab the bar with both arms just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position."",""Pull the bar straight up with your elbows in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Use a stirrup or double handle cable attachment by hooking it under the end of the bar."",""Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones)."",""Repeat for the recommended amount of repetitions.""}","{Bent_Over_Two-Arm_Long_Bar_Row/0.jpg,Bent_Over_Two-Arm_Long_Bar_Row/1.jpg}",,"",true,,
58,Bent Over Two-Dumbbell Row,compound,dumbbell,middle back,"{biceps,lats,shoulders}",true,"{""With a dumbbell in each hand (palms facing your torso), bend your knees slightly and bring your torso forward by bending at the waist; as you bend make sure to keep your back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position."",""While keeping the torso stationary, lift the dumbbells to your side (as you breathe out), keeping the elbows close to the body (do not exert any force with the forearm other than holding the weights). On the top contracted position, squeeze the back muscles and hold for a second."",""Slowly lower the weight again to the starting position as you inhale."",""Repeat for the recommended amount of repetitions.""}","{Bent_Over_Two-Dumbbell_Row/0.jpg,Bent_Over_Two-Dumbbell_Row/1.jpg}",,"",true,,
59,Bent Over Two-Dumbbell Row With Palms In,compound,dumbbell,middle back,"{biceps,lats}",true,"{""With a dumbbell in each hand (palms facing each other), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position."",""While keeping the torso stationary, lift the dumbbells to your side as you breathe out, squeezing your shoulder blades together. On the top contracted position, squeeze the back muscles and hold for a second."",""Slowly lower the weight again to the starting position as you inhale."",""Repeat for the recommended amount of repetitions.""}","{Bent_Over_Two-Dumbbell_Row_With_Palms_In/0.jpg,Bent_Over_Two-Dumbbell_Row_With_Palms_In/1.jpg}",,"",true,,
60,Body-Up,isolation,body only,triceps,"{abdominals,forearms}",false,"{""Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position."",""Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement."",""Slowly lower your forearms back to the ground by allowing the elbows to flex."",Repeat.}","{Body-Up/0.jpg,Body-Up/1.jpg}",,"",true,,
62,Bodyweight Mid Row,compound,other,middle back,"{biceps,lats}",false,"{""Begin by taking a medium to wide grip on a pull-up apparatus with your palms facing away from you. From a hanging position, tuck your knees to your chest, leaning back and getting your legs over your side of the pull-up apparatus. This will be your starting position."",""Beginning with your arms straight, flex the elbows and retract the shoulder blades to raise your body up until your legs contact the pull-up apparatus."",""After a brief pause, return to the starting position.""}","{Bodyweight_Mid_Row/0.jpg,Bodyweight_Mid_Row/1.jpg}",,"",true,,
66,Bosu Ball Cable Crunch With Side Bends,isolation,cable,abdominals,{},true,"{""Connect a standard handle to each arm of a cable machine, and position them in the most downward position."",""Grab a Bosu Ball and position it in front and center of the cable machine."",""Lie down on the Bosu Ball with the small of your back arched around the ball. Your rear end should be close to the floor without touching it."",""With both hands, reach back and grab the handle of each cable."",""With your feet positioned in a wide stance, extend your arms straight out in front of you and in between your knees. Your hands should be at knee level."",""Keep your arms straight and in-line with the upward angle of the cable. Elevate your torso in a crunching motion without dropping or bending your arms."",""Maintain the rigid position with your arms. Slowly descend back to the starting position with your back arched around the Bosu Ball and your abdominals elongated."",""Repeat the same series of movements to failure."",""Once you reach failure, keep your abs tight and raise your torso into plank position so your back is elevated off the Bosu Ball."",""Lower your arms down to your side; keep them straight. Start doing alternating side bends; reach for your heels! This finishing movement will focus on your obliques.""}","{Bosu_Ball_Cable_Crunch_With_Side_Bends/0.jpg,Bosu_Ball_Cable_Crunch_With_Side_Bends/1.jpg}",,"",true,,
67,Bottoms-Up Clean From The Hang Position,compound,kettlebells,forearms,"{biceps,shoulders}",false,"{""Initiate the exercise by standing upright with a kettlebell in one hand."",""Swing the kettlebell back forcefully and then reverse the motion forcefully. Crush the kettlebell handle as hard as possible and raise the kettlebell to your shoulder.""}","{Bottoms-Up_Clean_From_The_Hang_Position/0.jpg,Bottoms-Up_Clean_From_The_Hang_Position/1.jpg}",,"",true,,
68,Bottoms Up,compound,body only,abdominals,{},true,"{""Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position."",""To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor."",""After a brief pause, return to the starting position.""}","{Bottoms_Up/0.jpg,Bottoms_Up/1.jpg}",,"",true,,
